id,Name,x_coord,y_coord
1,Amelia_Pelindaba,27.913,-25.953
2,Pelindaba_6throad,27.922,-25.968
3,k33_lion,27.947,-25.976
4,Cedar_Witkoppen,28.003,-26.021
5,Main_Witkoppan,28.029,-26.028
6,Winnie_Main,28.023,-26.058
7,Winnie_Sandton drive,28.033,-26.100
8,Sandton_Alice,28.049,-26.109
9,R24_N3,28.133,-26.170
10,Malboro_N3,28.114,-26.082
11,Boundary_BramFrischerDrive,27.999,-26.121
12,Republic_Bram,28.003,-26.100
13,Republic_Winnie,28.026,-26.090
14,Shepherd_Homestead,28.002,-26.069
15,Peter_Winnie,28.025,-26.082
16,Submit_Rivonia,28.062,-26.081
17,Hill_Rivonia,28.056,-26.095
18,Rivonia_Maude,28.060,-26.103
19,14th_Alfred,28.102,-26.108
20,Arkwright_Pretoria,28.084,-26.116
